Set,Actual,Constant value,Error,% Error,RMS
48,40,1.05,8,16.67%,0.0004584753
48,39,1.05,9,18.75%,3.34897976680403E-07
48,39,1.05,9,18.75%,3.34897976680403E-07
24,19.25,1.05,4.75,19.79%,9.67855152606305E-05
24,19.5,1.05,4.5,18.75%,3.34897976680403E-07
24,19.375,1.05,4.625,19.27%,2.14334705075445E-05
12,9.625,1.05,2.375,19.79%,9.67855152606305E-05
12,10,1.05,2,16.67%,0.0004584753
12,9.5,1.05,2.5,20.83%,0.00041025
,Adjusted constant,0.8525173611,,18.81%,0.01309457
,,,,,
24,21.5,0.95,2.5,10.42%,
24,21.5,0.95,2.5,10.42%,
24,21.5,0.95,2.5,10.42%,
48,43.25,0.95,4.75,9.90%,
48,42.75,0.95,5.25,10.94%,
48,43,0.95,5,10.42%,
,Adjusted constant,0.85220625,,10.42%,
,,,,,
48,48.25,0.85220625,-0.25,-0.52%,
48,48.25,0.85220625,-0.25,-0.52%,
48,48,0.85220625,0,0.00%,
12,12,0.85220625,0,0.00%,
12,12.125,0.85220625,-0.125,-1.04%,
12,12,0.85220625,0,0.00%,
,Adjusted constant,0.8551652995,,-0.35%,
